Name,MovieCategory,Source,mood
Arth,Drama,https://www.youtube.com/watch?v=E5zaXLDYt8E,bored
Saaransh,Drama,https://www.dailymotion.com/video/xhpgqf,happy
Parinda,Drama,https://m.youtube.com/watch?v=ye23ozGDglA,happy
Lamhe,Drama,https://www.youtube.com/watch?v=r0Ov7pthyZ0,sad
Hum Aapke Hain Koun..!,Drama,https://www.youtube.com/watch?v=n6FzuYNJ0V4,bored
Dil Se..,Drama,https://www.youtube.com/watch?v=1V8hWtC509I,sad
Teesri Manzil,Thriller,https://www.youtube.com/watch?v=zBiXElqdJec,sad
Khoj,Thriller,https://www.youtube.com/watch?v=YAcZfF-g9EU,happy
Baazigar,Thriller,https://www.youtube.com/watch?v=FacrW7dBTco,bored
Gupt,Thriller,https://www.youtube.com/watch?v=9RSapEa_gSI,sad
Aur Kaun,Thriller,https://www.youtube.com/watch?v=RGsy6Axs8V8,bored
Raat,Thriller,https://www.youtube.com/watch?v=3IGNAmHMxJc,happy
Disco Dancer,Musical,https://m.youtube.com/watch?v=vj6oKpcK8mU ,sad
Qayamat Se Qayamat Tak,Musical,https://www.youtube.com/watch?v=L1Wpbw8mmks,happy
Dil To Pagal Hai,Musical,https://www.youtube.com/watch?v=-VKeP8WKZiU,sad
Taal,Musical,https://www.youtube.com/watch?v=ig634kloH-s,sad
Hum Dil De Chuke Sanam,Musical,https://www.youtube.com/watch?v=ITTQHc6_uRw,happy
Masoom,Family,https://www.youtube.com/watch?v=g8KyTfOJ8Ww,happy
Hum Saath-Saath Hain,Family,https://www.youtube.com/watch?v=gQjUgIKhRGQ,happy
Raja Hindustani,Family,https://www.youtube.com/watch?v=xtqog_hNsjA,sad
Biwi No.1,Family,https://www.youtube.com/watch?v=qsIgujNixQM,bored
Lagaan,Family,https://www.youtube.com/watch?v=ZpXgQV2t-28,happy
Hum Hain Rahi Pyar Ke,Family,https://www.youtube.com/watch?v=k-kblZITD2A,happy
Purana Mandir,Horror,https://www.youtube.com/watch?v=X400ruYdui0,happy
Veerana,Horror,https://www.youtube.com/watch?v=sqWh4jzemQo,sad
Bhoot,Horror,https://www.youtube.com/watch?v=nXsTxaHmmTo,bored
Darna Mana Hai,Horror,https://www.youtube.com/watch?v=AwRrWyK6gls,bored
Chupke Chupke,Comedy,https://www.youtube.com/watch?v=8lprjCd21ig,bored
Gol Maal,Comedy,https://www.youtube.com/watch?v=2po8kELDZY8,sad
Angoor,Comedy,https://www.youtube.com/watch?v=5B8ZMxxfQ1E,bored
Chashme Buddoor,Comedy,https://www.youtube.com/watch?v=beHF6uxhzZA,bored
Andaz Apna  Apna,Comedy,https://www.youtube.com/watch?v=49Wta-qwGfI,bored
