Language,MusicCategory,Source,mood,cluster_predicted
Hindi,Classical Music Old,https://www.youtube.com/watch?v=Dv0CoJlrmww,sad,5
Hindi,Classical Music New,https://www.youtube.com/watch?v=sR72qlhpwEo,bored,0
Hindi,Romantic Music Old,https://www.youtube.com/watch?v=5HvPhqmzGQ8,happy,1
Hindi,Romantic Music New,https://www.youtube.com/watch?v=yIlAe2EQOLY,bored,0
Hindi,Road Trip Music Old,https://www.youtube.com/watch?v=da2havkA7x0,sad,4
Hindi,Road Trip Music New,https://www.youtube.com/watch?v=gErAmJR1UOk,sad,4
Hindi,Dance Music Old,https://www.youtube.com/watch?v=bbm1K529fkE&t=89s,sad,4
Hindi,Dance Music New,https://www.youtube.com/watch?v=ZSNnoMDOgFc,sad,2
Hindi,Sad Music Old,https://www.youtube.com/watch?v=31Ep8mSP9GE,happy,1
Hindi,Sad Music New,https://www.youtube.com/watch?v=Gn4U-M-HhV0,sad,5
Marathi,Classical Music Old,https://www.youtube.com/watch?v=-ceyEAuKIbg,happy,1
Marathi,Classical Music New,https://www.youtube.com/watch?v=ub0iDQggPWo,bored,0
Marathi,Romantic Music Old,https://www.youtube.com/watch?v=xzmse0Lg-rY,bored,0
Marathi,Romantic Music New,https://www.youtube.com/watch?v=-8PdPy3PIe0,happy,1
Marathi,Road Trip Music Old,https://www.youtube.com/watch?v=imUUogeGUio,sad,4
Marathi,Road Trip Music New,https://www.youtube.com/watch?v=jrK5gKlFZxI&t=1s,bored,0
Marathi,Dance Music Old,https://www.youtube.com/watch?v=XUQXTq73Cus,sad,2
Marathi,Dance Music New,https://www.youtube.com/watch?v=xUSTF4Gyj8M,bored,0
Marathi,Sad Music Old,https://www.youtube.com/watch?v=H_4yEo6EMHo,sad,5
Marathi,Sad Music New,https://www.youtube.com/watch?v=nD_xT2PkKNc,bored,0
Tamil,Classical Music Old,https://youtube.com/playlist?list=PL2EC83F9FF28FCF6B&si=CQStdVW7nM2Olh3W,happy,3
Tamil,Classical Music New,https://youtube.com/playlist?list=PLugOFB1NPSS3It3NyDd6za3Ax8gYEZpL1&si=Y3jUa6zQ2GkXdpS3,happy,3
Tamil,Romantic Music Old,https://youtube.com/playlist?list=PL03C0571DBEEFA387&si=8SybvMp6aCm4BsJR,happy,3
Tamil,Romantic Music New,https://youtu.be/6zgm0cN8CQg?si=_jrjvB7nbG3pcf3Q,bored,3
Tamil,Road Trip Music Old,https://youtu.be/wDvrGC_xxIQ?si=pvqjF52VoGVDkLwE,happy,3
Tamil,Road Trip Music New,https://youtu.be/vbVqqJbD5xE?si=T-S7cCm_F4AEORsT,happy,3
Tamil,Dance Music Old,https://youtube.com/playlist?list=PLTqE9uGnjkEUlSFobW1jfWx1B-ae3KCI1&si=Sz7VrdKLwRJAZTyC,happy,3
Tamil,Dance Music New,https://youtu.be/dEBfefONLpI?si=DAGNghcIXKokX1IW,bored,3
Tamil,Sad Music Old,https://youtu.be/9wO6nuNL9Xc?si=YHvk4QwtXk46ymXi,bored,3
Tamil,Sad Music New,https://youtube.com/playlist?list=PLA-8U9tOtMXtknM6lZbXOyobtRoK2xPQt&si=WJ-7iDCRAHKr22QO,happy,3
Punjabi,Classical Music Old,https://www.youtube.com/watch?v=XvRAIEq3Ne4,sad,2
Punjabi,Classical Music New,https://www.youtube.com/watch?v=gWETv7L08Zs,sad,4
Punjabi,Romantic Music Old,https://www.youtube.com/watch?v=V9r0vWdMgyk,sad,2
Punjabi,Romantic Music New,https://www.youtube.com/watch?v=1NH6qDDY0_w,happy,1
Punjabi,Road Trip Music Old,https://www.youtube.com/watch?v=ISW6zPEwsL0,sad,5
Punjabi,Road Trip Music New,https://www.youtube.com/watch?v=LaETPQbkSf4,sad,2
Punjabi,Dance Music Old,https://www.youtube.com/watch?v=C3ckk3lpWew,sad,5
Punjabi,Dance Music New,https://www.youtube.com/watch?v=cvnTGAjum_c,sad,4
Punjabi,Sad Music Old,https://www.youtube.com/watch?v=1Pof-r0LbUg,happy,1
Punjabi,Sad Music New,https://www.youtube.com/watch?v=J2tTqT9Dheo,sad,5
English,Classical Music Old,https://www.youtube.com/watch?v=yv9tHBvyA4M,bored,0
English,Classical Music New,https://www.youtube.com/watch?v=fpAvYv8wi1c,sad,4
English,Romantic Music Old,https://www.youtube.com/watch?v=sVW9s1LI3y4,bored,0
English,Romantic Music New,https://www.youtube.com/watch?v=1lpqa2FygsI,happy,1
English,Road Trip Music Old,https://www.youtube.com/watch?v=AJ8WFGBwjQk,sad,5
English,Road Trip Music New,https://www.youtube.com/watch?v=MnmcEjEzlLk,sad,2
English,Dance Music Old,https://www.youtube.com/watch?v=fSqicTTg1Ps,sad,4
English,Dance Music New,https://www.youtube.com/watch?v=KNaCJYX-mgY,sad,2
English,Sad Music Old,https://www.youtube.com/watch?v=31uL5UnYrVg,happy,1
English,Sad Music New,https://www.youtube.com/watch?v=aG51brxM1kk,sad,2
