Language,MusicCategory,Source,mood,cluster_predicted
1,1,10,2,5
1,0,33,0,0
1,7,7,1,1
1,6,38,0,0
1,5,25,2,4
1,4,28,2,4
1,3,23,2,4
1,2,21,2,2
1,9,5,1,1
1,8,11,2,5
2,1,1,1,1
2,0,35,0,0
2,7,37,0,0
2,6,0,1,1
2,5,30,2,4
2,4,31,0,0
2,3,19,2,2
2,2,36,0,0
2,9,12,2,5
2,8,32,0,0
4,1,46,1,3
4,0,49,1,3
4,7,45,1,3
4,6,40,0,3
4,5,44,1,3
4,4,43,1,3
4,3,48,1,3
4,2,42,0,3
4,9,41,0,3
4,8,47,1,3
3,1,20,2,2
3,0,29,2,4
3,7,18,2,2
3,6,2,1,1
3,5,13,2,5
3,4,16,2,2
3,3,9,2,5
3,2,24,2,4
3,9,3,1,1
3,8,14,2,5
0,1,39,0,0
0,0,27,2,4
0,7,34,0,0
0,6,4,1,1
0,5,8,2,5
0,4,17,2,2
0,3,26,2,4
0,2,15,2,2
0,9,6,1,1
0,8,22,2,2
